Nome: BELEM;;;;;;;;;
Codigo Estacao: 82191;;;;;;;;;
Latitude: -1.43583333;;;;;;;;;
Longitude: -48.43722221;;;;;;;;;
Altitude: 7.13;;;;;;;;;
Situacao: Operante;;;;;;;;;
Data Inicial: 1990-01-01;;;;;;;;;
Data Final: 2023-10-01;;;;;;;;;
Periodicidade da Medicao: Diaria;;;;;;;;;
;;;;;;;;;
Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(ï¿½ï;TEMPERATURA MEDIA COMPENSADA, DIARIA(ï¿½ï;TEMPERATURA MINIMA, DIARIA(ï¿½ï;UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
06/06/1990;2,4;9,6;2,2;32,7;26,34;23,2;84,75;62;1,2
07/06/1990;2,5;8,4;1,4;33,1;26,22;23;84,75;61;0,666667
08/06/1990;2,6;8,6;17,2;32,7;26,7;23,2;84;63;0,766667
09/06/1990;2,5;9,5;0;32,3;26,88;22,8;79,25;60;2,366667
10/06/1990;3,1;9,3;0;32,6;26,4;23,2;85,25;63;2,466667
11/06/1990;2,5;6;13,1;31,8;26,38;23,2;89,5;85;2,133333
12/06/1990;1,5;7,2;2,8;32;26,64;22,8;85,5;73;1,3
13/06/1990;1,9;8,7;1;31,8;26,64;23,6;87,25;71;1,8
14/06/1990;2,3;10;2,5;31,6;26,3;22,2;81,75;60;2,2
15/06/1990;3;9,8;0;32,6;26,92;22,6;76,75;56;2,266667
16/06/1990;0,9;7,6;0;32;26,24;22,6;87,5;74;1,033333
17/06/1990;2;9,4;0,8;32;26,84;21,8;78,75;63;1,166667
18/06/1990;2,5;8,6;0;31,8;25,8;22,4;83,5;64;1,933333
19/06/1990;2,5;9,2;10,2;32;25,64;22,6;82,75;58;1,633333
20/06/1990;2,5;6,7;3;31,8;25,4;22,4;87;68;1,366667
21/06/1990;1,5;9,4;17,8;31,7;26,34;22;82,5;66;1,866667
22/06/1990;2,5;9;0;31,7;26,86;22,2;79,75;69;1,3
23/06/1990;2,5;9,6;0;32,2;26,12;22,6;81,5;61;2,533333
24/06/1990;2,5;6,7;18,8;null;null;22,2;88;78;1,5
25/06/1990;1,5;7,3;3;null;null;22,4;86,75;69;1,5
26/06/1990;1,5;6,1;0,4;null;null;22,2;85,5;67;1,366667
27/06/1990;2,5;10;0;31,6;26,84;23;77,75;61;1,733333
28/06/1990;3,3;9,5;0;32,1;26,34;22,6;85;68;1,466667
29/06/1990;2,3;8,1;10,8;31;26,24;23,2;85;68;1,466667
30/06/1990;2,2;5,3;0;32,3;25,68;22,6;86,25;59;1,333333
01/07/1990;1,5;1,2;6,2;28,7;25,62;23;91;89;0
02/07/1990;1,3;5,1;0,3;31,1;25,14;22,4;85,75;71;2,166667
03/07/1990;1,4;7,8;18,4;31,7;25,82;22;84;66;0
04/07/1990;1,5;4,4;13,4;29,8;26,22;null;87,75;71;0,533333
05/07/1990;1,3;8,6;1,6;31,7;26,5;21,8;82;65;0,366667
06/07/1990;2,2;9,6;0;32;26,52;21,2;78,75;61;1,566667
07/07/1990;2,4;8,5;0,2;31,3;26,3;23;82,75;66;1,066667
08/07/1990;2,2;7,6;0;32,5;26,08;22,6;83,5;61;2,133333
09/07/1990;1,7;5,4;15,6;31,7;25,54;23;89,5;68;1,633333
10/07/1990;2,1;8,7;8,5;31,5;26,4;22,3;82,25;71;1,3
11/07/1990;2,1;7,2;1,8;31,6;25,8;22;86;71;1,033333
12/07/1990;1,7;9,2;0,2;31,9;26,64;21,6;79;63;2,533333
13/07/1990;2,1;9,8;0;31,5;null;23,4;null;68;1,6
14/07/1990;2,1;9,1;3,4;31,3;26,22;21,2;80,25;61;2,066667
15/07/1990;2,9;9,5;0;31,8;null;22,2;null;72;0,8
16/07/1990;2,4;7,1;0;32;26;22,2;84,25;62;1,2
17/07/1990;1,8;9,3;6,4;31,7;25,98;23;83,25;60;1,4
18/07/1990;2,5;9,2;10,5;31,6;25,76;21,6;85,25;62;1,866667
19/07/1990;2,3;7,5;38;31,9;25,22;22,2;87,5;62;0,366667
20/07/1990;2;9,1;18,4;31,7;25,78;22;84;66;1,9
21/07/1990;2;9,3;1,5;31,6;25,84;22;81,75;63;0
22/07/1990;2,1;9,3;2,4;31,8;25,8;21,8;84;68;1,466667
23/07/1990;1,9;8,6;5,7;31,3;25,18;21,8;89,25;75;1,066667
24/07/1990;2;9;16,8;31,6;25,52;21,2;83;61;1,9
25/07/1990;2;6,6;0,1;31,7;25,56;22,7;86,25;65;1,233333
26/07/1990;1,7;8,8;23,2;31,1;25,66;22;82,75;62;2,2
27/07/1990;1,8;8,8;2,8;31;25,2;21,4;85,25;61;1,366667
28/07/1990;1,9;9,5;3,7;31,7;26,02;21;82,25;61;2,266667
29/07/1990;2,6;9,6;0,8;32,2;null;23;null;66;2,3
30/07/1990;2,7;2,9;6,4;31,1;25,5;23,8;91,5;82;1,766667
31/07/1990;1;8,8;11,8;32,1;25,54;22;85,25;63;1,466667
01/08/1990;2,1;9,4;8,6;31,5;25,68;21,7;85;61;1,733333
02/08/1990;1,9;9,7;11,3;31,7;26,14;22,4;84,75;66;1,633333
03/08/1990;2,2;10,4;0,2;31,6;null;23,6;null;60;2,05
04/08/1990;2,6;7,3;7,7;31,9;25,24;22,3;88,25;68;1,7
05/08/1990;1,9;6,7;12,9;30,9;25,16;21,2;89;82;1,166667
06/08/1990;1,1;9,4;2,4;31,8;25,4;21;84,25;64;1,5
07/08/1990;1,8;6,6;11,2;31,1;25,86;22;85;70;1,2
08/08/1990;2,4;10,4;2,1;31,3;26,14;22;84;61;1,366667
09/08/1990;3,1;6,4;0;31,5;25,4;22,2;89;77;1
10/08/1990;1,5;8,6;2;31,6;25,92;21,2;83,5;61;1,166667
11/08/1990;2,5;9,9;1,2;31,2;25,6;22,2;86;64;1,966667
12/08/1990;2,5;8,7;14,2;31,7;26,18;23,2;85,5;70;1,066667
13/08/1990;2;8,4;11,2;31,9;26,6;23;80,25;64;3
14/08/1990;2,2;8,9;0;31,5;26,66;23;79;62;1,9
15/08/1990;2,9;10,2;0,4;31,6;26,12;22;79,75;63;2,566667
16/08/1990;2,9;9,8;0,1;32,6;26,8;21,8;80,5;66;1,866667
17/08/1990;3,1;8,3;0;31,9;26,2;23;85,75;71;1,966667
18/08/1990;1,9;8,2;12,8;32,5;null;22,6;null;65;1,3
19/08/1990;1,9;7,1;17,6;32;24,96;21,6;86,5;66;0,966667
20/08/1990;1,6;9,7;5;31,5;25,88;21,5;84;66;1,5
21/08/1990;2,4;10;1,4;32,4;27,2;22,8;80,5;61;2,033333
22/08/1990;2,1;7,8;0;31,7;25,82;22,8;86,25;67;1,4
23/08/1990;1,7;6,3;52,6;30,4;25,52;22,2;88;76;1,266667
24/08/1990;1,8;7,7;8,4;31,9;25,58;23;87,75;65;1,7
25/08/1990;1,9;6,3;23;31,8;25,74;22,1;84,25;63;2,1
26/08/1990;1,6;7,3;0,2;31,7;25,98;22,2;83,75;64;1,7
27/08/1990;2,7;7,7;0;31,5;26,3;22,4;79,5;59;2,533333
28/08/1990;1,8;9,2;2,8;31,8;26,56;22,2;79;66;1,733333
29/08/1990;3;7,8;0;31,8;16,28;22,3;null;63;2,55
30/08/1990;3;6,4;0;31,4;25,16;22,2;86,75;66;0,533333
31/08/1990;1,8;7,6;18,3;31,7;25,9;22,3;85,5;65;1,466667
01/09/1990;1,7;7,5;0,6;32,1;26,34;22,2;85,5;74;1,2
02/09/1990;2,3;8,7;0,2;32,2;26,9;23,6;83,25;66;1,266667
03/09/1990;2,2;8,5;0;31,8;26,08;22,2;86;68;1,866667
04/09/1990;2,5;9,8;0,4;32,1;25,9;22,4;84,75;64;1,5
05/09/1990;2;7,8;2,2;31,5;26,14;22,2;84,25;69;0,866667
06/09/1990;2,3;8,9;0;32,2;26,22;22,6;80,5;60;2,066667
07/09/1990;2,2;8,9;0,7;32,3;26,06;22,4;83,5;64;0,533333
08/09/1990;2,2;9,3;8,4;32,4;25,44;22;84,75;61;1,366667
09/09/1990;2,3;7,8;5,6;32,4;26,4;21,4;84,5;68;0,833333
10/09/1990;2,3;7,6;4;31,6;26,32;22,8;84,75;79;1,6
11/09/1990;1,8;9;7,6;32;26,32;22;80;64;1,9
12/09/1990;3,7;8,4;0;31,5;26,54;21,8;77,75;66;2,1
